name,user_id,password,age,weight,height,bmi,gender,muscle_gain_goal,weight_goal,workout_days_per_week,workload_intensity,bmr,tdee,protein,carb,fat
Devin Carroll,user201,2024nutrition,61,119.2175741465641,162.08877808722968,45.37685411691587,Female,No,Lose Weight (High Priority),3,High,1788.0189426475158,2458.526046140334,122.92630230701673,184.3894534605251,136.58478034112966
Roger Riggs,user202,2024nutrition,37,78.63781106178811,157.75389075231303,31.5988485675111,Male,Yes,Lose Weight (High Priority),2,Moderate,1688.8846765151256,2322.216430208298,203.1939376432261,116.11082151041492,116.11082151041488
Rose Baker,user203,2024nutrition,41,91.14643032090372,181.7712658513143,27.58602981316647,Female,Yes,Lose Weight,4,Low,1676.0214227847684,2304.5294563290568,201.6463274287925,115.22647281645284,89.6205899683522
Angela Schmidt,user204,2024nutrition,34,47.90177063395439,150.7537689203898,21.07731129953714,Female,Yes,Maintain Weight,4,Moderate,1210.3558491675435,1876.0515662096927,187.6051566209693,140.70386746572697,62.53505220698976
Lindsay Hayes,user205,2024nutrition,23,77.14174955832627,159.4010925795563,30.36035858268988,Female,No,Lose Weight (High Priority),2,Moderate,1555.1573429773086,2138.3413465937992,106.91706732968996,160.37560099453498,118.79674147743329
Tracey Sparks,user206,2024nutrition,57,94.65831769333646,188.3004088979173,26.69661851028399,Male,Yes,Lose Weight,4,Moderate,1936.5641444387336,3001.674423880037,262.6465120895033,150.0837211940019,116.73178315089037
Lisa Davis,user207,2024nutrition,29,74.44826513668438,165.83291756887542,27.07154853500373,Male,No,Lose Weight,4,Low,1716.944579449194,2360.7987967426416,118.03993983713208,177.05990975569816,104.92439096633962
Joshua Monroe,user208,2024nutrition,36,99.32637632655192,156.70210603892667,40.44966460810144,Male,No,Lose Weight (High Priority),4,High,1966.678870527625,3048.352249317819,152.41761246589095,228.6264186988365,169.35290273987883
Bill Flynn,user209,2024nutrition,20,82.91995164788361,156.99278583006082,33.643382099788695,Female,No,Lose Weight (High Priority),4,Low,1614.1174433895085,2219.411484660574,110.9705742330287,166.45586134954306,123.30063803669856
Edward Martin,user2010,2024nutrition,22,47.31003525873553,181.8698068699734,14.30316209631299,Male,No,Gain Weight (Muscle),4,High,1470.0737455302822,2278.6143055719376,142.4133940982461,227.86143055719376,88.61277855001978
Brian Flores DDS,user2011,2024nutrition,44,72.70985877800284,184.82866154195395,21.28406928862499,Male,Yes,Maintain Weight,7,High,1699.6607247887414,3229.3553770986086,322.9355377098609,242.20165328239568,107.64517923662028
Jason Harrison,user2012,2024nutrition,34,76.33522785725978,152.5416962810616,32.8055907913606,Female,Yes,Lose Weight (High Priority),4,High,1478.81902707481,2292.169491965956,200.5648305470212,114.60847459829782,114.6084745982978
Steven Jordan,user2013,2024nutrition,47,49.739120151394125,158.78512555102424,19.727791310347204,Female,No,Maintain Weight,3,High,1195.9369629970147,1644.4133241208951,102.77583275755596,164.44133241208954,63.94940704914591
Stephanie Sutton,user2014,2024nutrition,26,109.88563153816315,178.3340808440314,34.55192219617739,Male,Yes,Lose Weight (High Priority),7,High,2268.7230596872787,4310.573813405829,377.1752086730101,215.5286906702915,215.52869067029144
